City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,oranjemund,-28.55,16.4333,54.27,62,0,7.99,NA,1720464957
83,horta,38.5333,-28.6333,75.02,92,75,23.02,PT,1720464564
84,gisborne,-38.6533,178.0042,45.36,85,8,5.55,NZ,1720464773
85,tura,25.5198,90.2201,75.2,98,69,6.82,IN,1720464671
86,pariaman,-0.619,100.12,75.25,78,91,3.71,ID,1720464962
87,ruteng,-8.6136,120.4721,61.03,96,100,3.42,ID,1720464965
88,ushuaia,-54.8,-68.3,38.82,70,20,14.97,AR,1720464762
89,palu,-0.8917,119.8707,75.94,98,100,2.82,ID,1720464967
90,bowen,-20.0167,148.2333,63.23,91,0,6.6,AU,1720464969
91,sokoni,-6.4333,39.55,78.21,71,0,14.99,TZ,1720464970
92,smithers,54.7804,-127.1743,75.52,31,0,3.44,CA,1720464972
93,san marcos de colon,13.4333,-86.8,82.13,68,78,6.44,HN,1720464973
94,port lincoln,-34.7333,135.8667,53.47,89,6,4.52,AU,1720464549
95,tromso,69.6496,18.957,51.82,71,75,9.22,NO,1720464976
96,eyl,7.9803,49.8164,79.05,76,4,26.49,SO,1720464978
97,ntcheu,-14.8203,34.6359,60.08,39,52,2.24,MW,1720464981
98,moa,20.6569,-74.9403,86.4,69,100,13.33,CU,1720464983
99,jabat,7.75,168.9751,82.45,80,50,13.31,MH,1720464984
100,vrangel',42.7297,133.0839,63.36,96,63,5.82,RU,1720464986
101,carutapera,-1.195,-46.02,80.19,89,11,4.94,BR,1720464988
102,lebu,-37.6167,-73.65,47.64,75,0,22.44,CL,1720464636
103,la passe,45.5549,-0.8967,84.43,74,5,4.7,FR,1720464803
104,lagoa,39.05,-27.9833,72.39,91,25,27.49,PT,1720464994
105,lata,40.1629,-8.3327,70.92,63,93,5.01,PT,1720464996
106,nyurba,63.2842,118.3319,64.38,59,100,6.31,RU,1720464997
107,villa pigna,42.8324,13.6335,80.94,68,2,2.37,IT,1720464998
108,barguzin,53.6167,109.6167,67.91,74,18,2.08,RU,1720465000
109,broome,42.2506,-75.833,88.43,58,75,5.75,US,1720465002
110,taulaga,-11.0553,-171.0883,82.6,79,99,21.9,AS,1720465003
111,afaahiti,-17.75,-149.2833,78.67,76,71,16.4,PF,1720464684
112,daru,-9.0763,143.2092,76.28,87,100,17.38,PG,1720465006
113,kodiak,57.79,-152.4072,49.51,93,100,4.61,US,1720464461
114,calipatria,33.1256,-115.5142,104.85,34,0,3.29,US,1720465009
115,vicente guerrero,19.1194,-98.1708,74.44,34,73,0.4,MX,1720465011
116,yanam,16.7333,82.2167,80.19,89,58,2.53,IN,1720464619
117,jalai nur,49.45,117.7,65.75,40,0,4.99,CN,1720465014
118,la grande,45.3246,-118.0877,90.01,13,0,4.81,US,1720465015
119,guarapari,-20.6667,-40.4975,80.89,65,2,4.85,BR,1720465016
120,ciudad bolivar,8.1222,-63.5497,92.17,49,88,8.19,VE,1720465018
121,laguna,38.421,-121.4238,101.01,35,0,8.05,US,1720465019
122,enoch,37.7733,-113.0244,90.48,14,0,9.22,US,1720465021
123,flin flon,54.7682,-101.865,82.24,36,40,9.22,CA,1720465023
124,langfang,39.5097,116.6947,74.5,81,100,5.44,CN,1720465024
125,isafjordur,66.0755,-23.124,57.24,54,100,6.91,IS,1720464770
126,beira,-19.8436,34.8389,66.29,88,0,5.01,MZ,1720464729
127,west island,-12.1568,96.8225,82.38,89,100,8.05,CC,1720464679
128,pacific grove,36.6177,-121.9166,70.81,88,40,6.91,US,1720464772
129,luderitz,-26.6481,15.1594,55.36,59,0,18.84,NA,1720465031
130,tolanaro,-25.0319,46.9987,71.67,73,20,20.71,MG,1720464682
131,crucecita,-28.95,-58.9833,54.5,43,5,11.16,AR,1720465033
132,bredasdorp,-34.5322,20.0403,49.96,72,55,17.96,ZA,1720464702
133,hailun,47.45,126.9333,57.34,62,0,3.2,CN,1720465036
134,mendi,-6.1761,143.6513,53.49,98,100,2.3,PG,1720465037
135,verkhnevilyuysk,63.4453,120.3167,59.85,68,44,5.64,RU,1720465041
136,stanley,54.868,-1.6985,59.5,71,20,4.61,GB,1720464633
137,town and country,38.6123,-90.4634,87.91,68,75,8.05,US,1720465043
138,kapuskasing,49.4169,-82.4331,75.29,73,75,10.36,CA,1720464569
139,portland,45.5234,-122.6762,93.81,37,0,4.0,US,1720464787
140,kone,-21.0595,164.8658,67.28,78,76,5.82,NC,1720465047
141,avarua,-21.2078,-159.775,71.65,68,100,11.5,CK,1720465049
142,walvis bay,-22.9575,14.5053,58.08,63,0,15.99,NA,1720464635
143,argo,37.6333,22.7333,87.78,37,0,3.76,GR,1720464632
144,beichengqu,40.4394,113.1536,66.38,73,54,3.15,CN,1720465052
145,inari,68.906,27.0288,61.0,83,10,2.98,FI,1720465053
146,weno,7.4515,151.8468,80.55,83,40,9.22,FM,1720464629
147,sechura,-5.5569,-80.8222,77.83,58,86,13.27,PE,1720465055
148,alesund,62.4723,6.1549,58.33,81,75,8.05,NO,1720465057
149,touros,-5.1989,-35.4608,79.61,72,88,12.97,BR,1720465058
150,prince rupert,54.3161,-130.3201,60.89,82,0,5.75,CA,1720464903
151,olonets,60.9847,32.9698,54.48,96,100,3.76,RU,1720465060
152,vadso,70.0744,29.7487,54.48,87,40,12.66,NO,1720465061
153,baijiantan,45.6333,85.1833,85.3,34,100,1.9,CN,1720465064
154,bethel,41.3712,-73.414,92.52,56,20,6.91,US,1720464587
155,jiwani,25.05,61.7417,83.34,81,100,13.49,PK,1720465066
156,pitiquito,30.7,-112.0833,104.85,16,0,9.13,MX,1720465067
157,rongelap,11.1635,166.8941,82.29,81,52,16.96,MH,1720465068
158,nahiyat al fuhud,30.9697,46.7228,102.49,13,0,8.68,IQ,1720465069
159,swakopmund,-22.6833,14.5333,57.97,74,0,5.01,NA,1720465071
160,prieska,-29.6641,22.7474,40.1,60,2,11.16,ZA,1720465072
161,cururupu,-1.8283,-44.8683,81.61,82,23,2.82,BR,1720465073
162,annau,37.8876,58.516,89.1,23,6,6.91,TM,1720465074
163,caidian,30.5833,114.0333,91.53,67,100,9.93,CN,1720465075
164,alice springs,-23.7,133.8833,47.75,100,100,0.0,AU,1720464794
165,ribeira grande,38.5167,-28.7,75.78,88,75,23.02,PT,1720464544
166,zabljak,43.1542,19.1232,63.57,71,100,1.68,ME,1720465079
167,agat village,13.3886,144.6585,82.51,89,20,5.75,GU,1720465080
168,atafu village,-8.5421,-172.5159,82.65,79,100,17.18,TK,1720464651
169,slave lake,55.2834,-114.769,69.78,73,0,4.61,CA,1720465082
170,dakhla,23.6848,-15.958,71.62,68,0,25.32,EH,1720465084
171,shahba,32.8551,36.629,74.14,56,0,12.62,SY,1720465085
172,kapa'a,22.0752,-159.319,78.1,74,100,16.11,US,1720464615
173,nar'yan-mar,67.6713,53.087,64.74,57,6,9.57,RU,1720465088
174,vorgashor,67.5833,63.95,55.76,79,0,7.81,RU,1720464617
175,gamba,-2.65,10.0,70.16,85,11,5.86,GA,1720465091
176,saint-francois,46.4154,3.9054,80.04,47,0,4.61,FR,1720465092
177,bodo,67.28,14.405,55.94,74,75,4.61,NO,1720465093
178,hamilton,39.1834,-84.5333,90.97,54,0,6.91,US,1720464543
179,constantia,44.1833,28.65,75.88,56,0,2.37,RO,1720465095
180,susuman,62.7833,148.1667,49.24,68,100,3.18,RU,1720464711
